Partner Name,Year,Export (US$ Thousand),Import (US$ Thousand),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),Continente,Intervalo,Share_Cafe,Share_Banano,Share_Cardamomo,Share_Azucar,Share_Textiles,Share_Hortalizas,Share_Pescado,Share_Lacteos,Share_Carne,Share_Plasticos,Arancel_Ajustado,Share_Total_Ponderado,Demanda_Ajustada,Revealed Comparative Advantage,MFN SpecificDuty Imports (log),TLC_Con_GT,Arancel_Especifico_GT,Mercado_Atractivo
Colombia,1988,1011212.56,1210433.39,3.7175375,2.37,3.28,12.36,12.36,83.81,2.48,1.35,1014.83,0.0,1194813.09,1654724.07,396453.91,16.61,12.64,13776.0,68.57,17.18,56.77,49.16,2029.66,1379000.37,2051177.98,0.0,América,1988-1990,2.8620218423997405e-05,4.29303276359961e-05,7.155054605999351e-06,3.577527302999676e-05,5.366290954499513e-05,2.504269112099773e-05,1.788763651499838e-05,2.146516381799805e-05,3.219774572699708e-05,3.577527302999676e-05,811.864,3.151801553942714e-05,0.046933384176764466,1,14.136870150248477,1,811.864,0
Comoros,1988,2432.41,2617.6,4.154359526372444,2.25,2.65,11.62,11.62,79.29,7.07,2.02,324.05,0.0,7182.72,12193.23,2655.9,13.03,6.42,2450.0,79.8,13.55,56.06,26.26,324.05,9172.55,14849.12,0.0,África,1988-1990,1.5473028992255328e-08,7.736514496127664e-09,7.736514496127664e-10,1.5473028992255328e-08,7.736514496127666e-08,7.736514496127664e-09,9.283817395353196e-09,1.547302899225533e-09,2.3209543488382994e-09,1.1604771744191497e-07,486.07500000000005,1.7546414877217545e-08,9.429655716800214e-08,0,9.124079622286288,0,388.86,0
Cape Verde,1988,49399.6,2047.62,4.154359526372444,0.69,5.82,5.36,5.36,93.75,0.89,0.0,22.0,0.0,1.0,2035.0,2095.0,13.42,24.99,2168.0,63.28,23.11,58.93,28.87,2029.66,799.0,4130.0,0.0,África,1988-1990,1.2103791115954254e-08,6.051895557977127e-09,6.051895557977128e-10,1.2103791115954254e-08,6.051895557977127e-08,6.051895557977127e-09,7.262274669572553e-09,1.2103791115954255e-09,1.8155686673931383e-09,9.077843336965693e-08,33.0,1.3725699125492125e-08,8.266181189217701e-07,0,6.684611727667927,0,26.4,0
Costa Rica,1988,148547.41,270817.84,3.7175375,3.19,8.41,31.02,31.02,61.87,5.31,1.8,256.64,0.0,245754.92,505392.72,24175.69,14.94,22.8,7498.0,67.52,19.46,40.62,43.02,2029.66,273299.13,529568.41,0.0,América,1988-1990,6.4033806386613166e-06,9.605070957991977e-06,1.6008451596653291e-06,8.004225798326646e-06,1.2006338697489968e-05,5.602958058828652e-06,4.002112899163323e-06,4.802535478995987e-06,7.20380321849398e-06,8.004225798326646e-06,205.312,7.051722928325776e-06,0.009256525901196546,1,12.51832584758381,1,205.312,0
Cuba,1988,266126.43,239272.84,3.7175375,3.07,18.22,26.2,26.2,63.96,7.68,2.17,176.82,0.0,161381.55,430482.22,79731.44,15.0,23.36,7128.0,63.83,22.18,52.39,37.67,3000.0,368550.23,510213.66,0.0,América,1988-1990,5.657511598990328e-06,8.486267398485491e-06,1.414377899747582e-06,7.07188949873791e-06,1.0607834248106863e-05,4.9503226491165375e-06,3.535944749368955e-06,4.243133699242746e-06,6.364700548864119e-06,7.07188949873791e-06,141.456,6.2303346483880976e-06,0.010464633749861162,0,12.817335004015202,1,141.456,0
Cyprus,1988,734083.6,100847.51,4.846360655737705,2.02,5.8,17.09,17.09,73.2,7.8,1.92,2547.12,0.0,103329.63,276285.32,314520.28,16.96,15.05,25966.0,68.3,16.43,57.17,49.91,3000.0,359333.48,590805.61,0.0,Asia,1988-1990,1.4903121619295912e-06,1.192249729543673e-06,5.961248647718365e-06,1.7883745943155097e-06,5.365123782946528e-06,8.941872971577547e-07,3.576749188631019e-06,5.961248647718365e-07,1.192249729543673e-06,4.470936485788773e-06,3820.68,2.5394919239280237e-06,6.701278945208668e-05,0,12.792008932872498,0,3056.544,0
Germany,1988,34936844.6,41497301.75,3.511804733727811,10.87,11.86,53.34,53.34,37.01,4.69,4.95,3000.0,0.0,15641299.14,39024236.59,421656.85,14.06,12.77,83111.0,67.19,20.11,10.72,9.67,3000.0,19004261.1,39445893.44,0.0,Europa,1988-1990,0.0018397261415364,0.0009811872754861,0.0001226484094357,0.0006132420471788,0.0014717809132291,0.000490593637743,0.0012264840943576,0.0008585388660503,0.0007358904566145,0.0014717809132291,4500.0,0.0011124210735823,10.256048203400058,0,16.760173833027142,0,3600.0,0
Djibouti,1988,41164.72,1244.99,4.154359526372444,0.04,0.01,1.36,1.36,97.29,1.36,0.0,8.0,0.0,394.0,453.0,13710.48,14.67,6.79,2911.0,66.75,21.16,57.18,38.21,1296.17,10940.52,14163.48,0.0,África,1988-1990,7.359323947535132e-09,3.679661973767566e-09,3.679661973767566e-10,7.359323947535132e-09,3.679661973767566e-08,3.679661973767566e-09,4.4155943685210795e-09,7.359323947535132e-10,1.1038985921302699e-09,5.5194929606513494e-08,12.0,8.345473356504838e-09,7.99233144162689e-07,0,9.300320005995683,0,9.6,0
Dominica,1988,8021.47,5434.34,3.7175375,2.71,9.02,24.66,24.66,59.79,11.8,3.75,43.96,0.0,316.09,69503.89,2587.23,13.92,36.0,2669.0,63.09,20.23,73.73,45.58,471.64,1377.69,72091.13,0.0,América,1988-1990,1.284928184195795e-07,1.9273922762936927e-07,3.212320460489488e-08,1.6061602302447437e-07,2.409240345367116e-07,1.124312161171321e-07,8.03080115122372e-08,9.636961381468463e-08,1.4455442072202693e-07,1.6061602302447437e-07,65.94,1.4150271628456193e-07,1.1487509280159043e-05,0,7.228889051941733,0,52.752,0
Denmark,1988,9283015.12,7915819.08,3.511804733727811,4.15,6.59,36.14,36.14,57.58,1.84,4.44,768.22,0.0,1597274.1,6454876.73,490217.24,14.14,12.59,74869.0,67.55,19.02,26.34,24.13,3000.0,3906442.71,6945093.97,0.0,Europa,1988-1990,0.0003509370170832,0.000187166409111,2.339580113888445e-05,0.0001169790056944,0.0002807496136666,9.358320455553782e-05,0.0002339580113888,0.0001637706079721,0.0001403748068333,0.0002807496136666,1152.33,0.0002121999163296,1.456422833409563,0,15.178137980997317,0,921.864,0
